!!SBtab	SBtabVersion='1.0'  TableType='QuantityMatrix'  TableName='E12'  TableTitle=''  Document='MGluR'														
!TimePoint	!Time	>Y8	SD_Y8	>Y10	SD_Y10										
E12T164	164	0.72105	0.042759	0.77156	0.050395						65				
E12T165	165	0.72572	0.042556	0.77512	0.050053						66				
E12T166	166	0.73031	0.042349	0.77863	0.049709						67				
E12T167	167	0.73482	0.042136	0.78207	0.049365						68				
E12T168	168	0.73925	0.041919	0.78547	0.049019						69				
E12T169	169	0.74361	0.041698	0.78881	0.048672						70				
E12T170	170	0.74789	0.041472	0.79209	0.048325						71				
E12T171	171	0.7521	0.041241	0.79532	0.047977						72				
E12T172	172	0.75625	0.041007	0.79851	0.047628						73				
E12T173	173	0.76032	0.04077	0.80164	0.047279						74				
E12T174	174	0.76432	0.040528	0.80472	0.046929						75				
E12T175	175	0.76825	0.040284	0.80775	0.046579						76				
E12T176	176	0.77212	0.040036	0.81074	0.046228						77				
E12T177	177	0.77592	0.039785	0.81368	0.045878						78				
E12T178	178	0.77966	0.039532	0.81657	0.045527						79				
E12T179	179	0.78333	0.039276	0.81942	0.045176						80				
E12T180	180	0.78695	0.039017	0.82222	0.044826						81				
E12T181	181	0.7905	0.038756	0.82497	0.044476						82				
E12T182	182	0.79399	0.038493	0.82769	0.044125						83				
E12T183	183	0.79742	0.038228	0.83036	0.043776						84				
E12T184	184	0.80079	0.037961	0.83298	0.043426						85				
E12T185	185	0.80411	0.037692	0.83557	0.043077						86				
E12T186	186	0.80737	0.037421	0.83812	0.042729						87				
E12T187	187	0.81058	0.03715	0.84062	0.042381						88				
E12T188	188	0.81373	0.036876	0.84309	0.042034						89				
E12T189	189	0.81683	0.036602	0.84551	0.041687						90				
E12T190	190	0.81988	0.036326	0.8479	0.041342						91				
E12T191	191	0.82287	0.03605	0.85025	0.040997						92				
E12T192	192	0.82582	0.035773	0.85257	0.040653						93				
E12T193	193	0.82871	0.035494	0.85485	0.04031						94				
E12T194	194	0.83156	0.035216	0.85709	0.039968						95				
E12T195	195	0.83436	0.034936	0.85929	0.039627						96				
E12T196	196	0.83711	0.034657	0.86147	0.039287						97				
E12T197	197	0.83981	0.034376	0.8636	0.038949						98				
E12T198	198	0.84247	0.034096	0.86571	0.038611						99				
E12T199	199	0.84509	0.033816	0.86778	0.038275						100				
