!!SBtab	Document='MGluR' TableName='Parameter' TableType='Quantity' TableTitle='MGLuR parameters'																									
!ID	!Name	!Unit	!Value	!Median	!Max	!Min	!Std	!ProbDist	!Description	!Scale	!Location	!constrains	!Comment	!constrains_comment		!Value:linspace	!Min_linspace	!Max_linspace	!Value:log10	!LaTeX	LaTeX Construct	!ReferenceDOI				
K108	kf_69	1/(nanomolarity*second)	0							natural logarithm	Neuron	25	kf_69XPIP2XKCNQ	30	26	1			0							
K109	kr_69	1/second	0							natural logarithm	Neuron	26	kr_69XPIP2_KCNQ	31	27	1			0							
K110	kf_70	1/(nanomolarity*second)	0							natural logarithm	Neuron	27	kf_70XPIP2XPH	32	28	1			0							
K111	kr_70	1/second	0							natural logarithm	Neuron	28	kr_70XPIP2_PH	33	29	1			0							
K112	kf_71	1/(nanomolarity*second)	0							natural logarithm	Neuron	29	kf_71XIP3XPH	34	30	1			0							
K113	kr_71	1/second	0							natural logarithm	Neuron	30	kr_71XIP3_PH	35	31	1			0							
K114	kf_72	1/second	0							natural logarithm	Neuron	31	kf_72XIP3	36	32	1			0							
K115	kf_73	1/second	0							natural logarithm	Neuron	32	kf_73XDAG	37	33	1										
K116	kf_74	1/second	0							natural logarithm	Neuron	33	kf_74XPA	38	34	1										
K117	kf_75	1/(nanomolarity*second)	0							natural logarithm	Neuron	34	kf_75XCDPDAGXI	39	35	1										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										Mukhopadhyay S, Ross EM PNAS 1999: 1000x SLOWER without gap; Berman, Wilkie, Gilman Cell 1996
																										Neubig, Connolly, Remmers, 1994
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										doi:10.1371/journal.pcbi.1002953
																										doi:10.1371/journal.pcbi.1002953
																										doi:10.1371/journal.pcbi.1002953
																										doi:10.1371/journal.pcbi.1002953
																										doi:10.1371/journal.pcbi.1002953
																										doi:10.1371/journal.pcbi.1002953
																										doi:10.1371/journal.pcbi.1002953
																										doi:10.1371/journal.pcbi.1002953
																										doi:10.1371/journal.pcbi.1002953
																										doi:10.1371/journal.pcbi.1002953
																										doi:10.1371/journal.pcbi.1002953
																										doi:10.1371/journal.pcbi.1002953
																										doi:10.1371/journal.pcbi.1002953
																										
																										
																										
																										
																										
																										
																										
																										
																										doi:10.1371/journal.pcbi.1002953
																										doi:10.1371/journal.pcbi.1002953
																										doi:10.1371/journal.pcbi.1002953
																										doi:10.1371/journal.pcbi.1002953
																										doi:10.1371/journal.pcbi.1002953
																										doi:10.1371/journal.pcbi.1002953
																										doi:10.1371/journal.pcbi.1002953
																										doi:10.1371/journal.pcbi.1002953
																										doi:10.1371/journal.pcbi.1002954
																										doi:10.1371/journal.pcbi.1002955
