!!SBtab	Document='MGluR' TableName='Reaction' TableType='Reaction' TableTitle='MGluR Reaction Fluxes' SBtabVersion='1.0'				
!ID	!Name	!KineticLaw	!IsReversible	!Location	!ReactionFormula
R45	ReactionFlux45	kf_45 * ACh_M1R_Gqbc * GqaGDP_PLC	FALSE	Neuron	ACh_M1R_Gqbc + GqaGDP_PLC <=> ACh_M1R_Gqabc_PLC
R46	ReactionFlux46	kf_46 * M1R_Gqabc_PLC	FALSE	Neuron	M1R_Gqabc_PLC <=> M1R_Gqbc + GqaGTP_PLC
R47	ReactionFlux47	kf_47 * ACh_M1R_Gqabc_PLC	FALSE	Neuron	ACh_M1R_Gqabc_PLC <=> ACh_M1R_Gqbc + GqaGTP_PLC
R48	ReactionFlux48	kf_48 * OxoM * M1R - kr_48 * OxoM_M1R	TRUE	Neuron	OxoM + M1R <=> OxoM_M1R
R49	ReactionFlux49	kf_49 * OxoM * M1R_Gqbc - kr_49 * OxoM_M1R_Gqbc	TRUE	Neuron	OxoM + M1R_Gqbc <=> OxoM_M1R_Gqbc
R50	ReactionFlux50	kf_50 * OxoM * M1R_Gqabc - kr_50 * OxoM_M1R_Gqabc	TRUE	Neuron	OxoM + M1R_Gqabc <=> OxoM_M1R_Gqabc
R51	ReactionFlux51	kf_51 * OxoM * M1R_Gqabc_PLC - kr_51 * OxoM_M1R_Gqabc_PLC	TRUE	Neuron	OxoM + M1R_Gqabc_PLC <=> OxoM_M1R_Gqabc_PLC
R52	ReactionFlux52	kf_52 * OxoM_M1R * Gqbc - kr_52 * OxoM_M1R_Gqbc	TRUE	Neuron	OxoM_M1R + Gqbc <=> OxoM_M1R_Gqbc
R53	ReactionFlux53	kf_53 * OxoM_M1R * Gqabc - kr_53 * OxoM_M1R_Gqabc	TRUE	Neuron	OxoM_M1R + Gqabc <=> OxoM_M1R_Gqabc
R54	ReactionFlux54	kf_54 * OxoM_M1R_Gqbc * GqaGDP	FALSE	Neuron	OxoM_M1R_Gqbc + GqaGDP <=> OxoM_M1R_Gqabc
R55	ReactionFlux55	kf_55 * OxoM_M1R_Gqabc	FALSE	Neuron	OxoM_M1R_Gqabc <=> OxoM_M1R_Gqbc + GqaGTP
R56	ReactionFlux56	kf_56 * OxoM_M1R_Gqabc * PLC - kr_56 * OxoM_M1R_Gqabc_PLC	TRUE	Neuron	OxoM_M1R_Gqabc + PLC <=> OxoM_M1R_Gqabc_PLC
R57	ReactionFlux57	kf_57 * OxoM_M1R_Gqbc * GqaGDP_PLC	FALSE	Neuron	OxoM_M1R_Gqbc + GqaGDP_PLC <=> OxoM_M1R_Gqabc_PLC
R58	ReactionFlux58	kf_58 * OxoM_M1R_Gqabc_PLC	FALSE	Neuron	OxoM_M1R_Gqabc_PLC <=> OxoM_M1R_Gqbc + GqaGTP_PLC
R59	ReactionFlux59	kf_59 * Gqbc * GqaGDP	0	Neuron	Gqbc + GqaGDP <=> Gqabc
R60	ReactionFlux60	kf_60 * Gqabc	0	Neuron	Gqabc <=> Gqbc + GqaGTP
